Yes,No,Agree,Completely Agree,Neutral,Yes
Sometimes,No,Completely Disagree,Neutral,Neutral,No
Yes,No,Agree,Agree,Agree,Maybe
Yes,Yes,Disagree,Agree,Agree,Yes
Yes,Sometimes,Disagree,Agree,Agree,Yes
Yes,No,Disagree,Neutral,Neutral,Maybe
Sometimes,Sometimes,Agree,Neutral,Agree,Maybe
Yes,Yes,Neutral,Neutral,Neutral,Yes
Sometimes,Sometimes,Neutral,Neutral,Neutral,Maybe
Yes,Sometimes,Disagree,Neutral,Neutral,Yes
Yes,Yes,Completely Disagree,Disagree,Neutral,No
No,No,Neutral,Agree,Completely Agree,Maybe
Yes,No,Neutral,Neutral,Agree,Yes
Sometimes,Sometimes,Neutral,Neutral,Neutral,Yes
Yes,No,Neutral,Neutral,Neutral,Yes
Yes,Yes,Agree,Agree,Agree,Yes
Yes,No,Disagree,Disagree,Agree,Maybe
Sometimes,Sometimes,Neutral,Neutral,Agree,Yes
Yes,Sometimes,Neutral,Agree,Neutral,No
Sometimes,No,Completely Disagree,Completely Agree,Disagree,Yes
Yes,Sometimes,Neutral,Neutral,Agree,Yes
Yes,Sometimes,Agree,Agree,Agree,Yes
Sometimes,No,Completely Disagree,Completely Disagree,Completely Disagree,No
Sometimes,Yes,Agree,Agree,Agree,No
Yes,Sometimes,Neutral,Agree,Agree,Yes
Sometimes,Sometimes,Neutral,Neutral,Neutral,No
No,No,Disagree,Disagree,Neutral,No
Yes,Sometimes,Completely Agree,Agree,Neutral,Yes
Sometimes,Yes,Neutral,Neutral,Neutral,No
Sometimes,No,Disagree,Agree,Disagree,Yes
No,No,Neutral,Agree,Neutral,Yes
Yes,No,Neutral,Neutral,Agree,Yes
Yes,Sometimes,Disagree,Disagree,Agree,Yes
Yes,No,Neutral,Completely Agree,Neutral,Yes
Yes,No,Disagree,Completely Agree,Agree,Yes
Yes,Yes,Neutral,Agree,Neutral,Yes
No,No,Neutral,Neutral,Agree,No
Yes,No,Neutral,Neutral,Neutral,Yes
Yes,No,Agree,Completely Agree,Disagree,Yes
Yes,No,Neutral,Disagree,Neutral,Yes
Sometimes,No,Disagree,Disagree,Disagree,Yes
Yes,No,Completely Disagree,Completely Disagree,Neutral,Yes
Sometimes,No,Disagree,Disagree,Neutral,Maybe
Yes,No,Agree,Completely Agree,Completely Agree,No
Yes,No,Neutral,Neutral,Agree,No
Yes,Sometimes,Agree,Neutral,Neutral,Yes
Sometimes,Sometimes,Disagree,Neutral,Agree,No
Yes,Yes,Disagree,Neutral,Agree,Yes
Yes,Yes,Agree,Neutral,Neutral,Yes
Yes,No,Disagree,Neutral,Completely Agree,Yes
Yes,Yes,Neutral,Agree,Neutral,Maybe
Yes,Yes,Neutral,Completely Agree,Disagree,Yes
Sometimes,No,Neutral,Completely Disagree,Neutral,Yes
Yes,Sometimes,Disagree,Neutral,Neutral,Yes
Sometimes,No,Neutral,Completely Agree,Completely Agree,Yes
Sometimes,No,Disagree,Agree,Agree,Yes
Sometimes,No,Neutral,Agree,Completely Agree,Yes
Yes,No,Neutral,Neutral,Neutral,Maybe
Yes,Yes,Neutral,Agree,Disagree,Yes
Sometimes,No,Completely Disagree,Disagree,Neutral,Maybe
Yes,Sometimes,Agree,Agree,Neutral,Yes
Yes,Sometimes,Disagree,Agree,Disagree,Yes
Yes,Yes,Neutral,Neutral,Agree,Yes
Yes,No,Completely Disagree,Neutral,Neutral,No
Sometimes,No,Disagree,Disagree,Neutral,No
Sometimes,No,Completely Disagree,Completely Disagree,Neutral,Yes
Sometimes,Sometimes,Neutral,Neutral,Completely Disagree,Yes
Yes,Yes,Agree,Agree,Agree,Yes
Sometimes,Yes,Neutral,Agree,Neutral,Maybe
Yes,Sometimes,Agree,Agree,Agree,Yes
Yes,Sometimes,Neutral,Neutral,Neutral,Maybe
Yes,Sometimes,Neutral,Neutral,Neutral,Yes
Yes,Yes,Agree,Agree,Agree,Yes
Yes,Sometimes,Agree,Agree,Neutral,Yes
Yes,Yes,Neutral,Agree,Agree,Maybe
Sometimes,Sometimes,Neutral,Neutral,Neutral,Maybe
Yes,Yes,Neutral,Agree,Agree,Yes
Yes,Sometimes,Agree,Agree,Agree,Yes
Yes,Sometimes,Agree,Agree,Agree,Yes
Yes,Sometimes,Neutral,Neutral,Neutral,Maybe
Yes,Yes,Neutral,Agree,Agree,Maybe
Yes,Yes,Neutral,Agree,Neutral,Yes
Yes,Yes,Agree,Agree,Agree,Maybe
Yes,Sometimes,Neutral,Neutral,Neutral,Maybe
Yes,Yes,Neutral,Neutral,Neutral,Maybe
Yes,Sometimes,Agree,Agree,Agree,Maybe
Yes,Sometimes,Agree,Agree,Agree,Yes
Sometimes,Sometimes,Agree,Agree,Agree,Maybe
Yes,Yes,Neutral,Neutral,Neutral,Maybe
Yes,Sometimes,Neutral,Completely Agree,Agree,Yes
No,No,Completely Disagree,Agree,Agree,Yes
Yes,Sometimes,Neutral,Agree,Neutral,Yes
Yes,Yes,Agree,Completely Agree,Completely Agree,Yes
Yes,Yes,Agree,Completely Agree,Completely Agree,Yes
Yes,No,Neutral,Completely Agree,Completely Agree,Yes
Yes,No,Neutral,Completely Agree,Completely Agree,Yes
Yes,Yes,Agree,Completely Agree,Completely Agree,Yes
Yes,No,Neutral,Completely Agree,Completely Agree,Yes
Yes,Sometimes,Disagree,Completely Agree,Completely Agree,Yes
Yes,Yes,Agree,Agree,Agree,Yes
